lat,lon,name,NewChain
49.2182528,-122.6527159,Subway,True
49.2560819,-123.1153942,Subway,True
49.2265992,-122.8930617,Subway,True
49.197857,-123.178461,Subway,True
49.214159,-122.9890244,Subway,True
49.1588797,-122.7817808,Subway,True
49.160697,-122.667293,Subway,True
49.2890568,-123.1146229,Subway,True
49.257986700000004,-123.0449264,Subway,True
49.0758884,-122.6698849,Subway,True
49.198074,-122.812044,Subway,True
49.2318607,-123.0293811,Subway,True
49.1921329,-123.0857202,Subway,True
49.2183451,-123.0773794,Subway,True
49.1980528,-122.978715,Subway,True
49.259913,-123.1013173,Subway,True
49.284191,-123.1159168,Subway,True
49.0562744,-122.8005676,Subway,True
49.1267991,-122.6235305,Subway,True
49.1027065,-122.6449963,Subway,True
49.2186099,-122.9567528,Subway,True
49.226921,-123.1288066,Subway,True
49.3066055,-123.0087435,Subway,True
49.2655577,-123.1199868,Subway,True
49.2779076,-123.1277317,Subway,True
49.0549034,-122.3191707,Subway,True
49.267402,-123.2495964,Subway,True
49.2780845,-122.9120717,Subway,True
49.2635006,-122.88703,Subway,True
49.2839142,-123.1123573,Subway,True
49.1327007,-122.3193809,Subway,True
49.1044656,-122.6598376,Subway,True
49.2796822,-123.1265354,Subway,True
49.3359336,-123.0715518,Subway,True
49.2961888,-122.8035842,Subway,True
49.0372607,-122.2707686,Subway,True
49.1036626,-122.7326073,Subway,True
49.2747568,-123.1002559,Subway,True
49.2031768,-122.8792546,Subway,True
49.1201645,-122.8449823,Subway,True
49.2792636,-123.1078464,Subway,True
49.2713215,-122.755135,Subway,True
49.2122877,-122.9190262,Subway,True
49.263802,-123.1405911,Subway,True
49.1203766,-122.8923201,Subway,True
49.2188696,-123.0401823,Subway,True
49.1187754,-122.8241543,Subway,True
49.1337792,-122.8411903,Subway,True
49.3162935,-122.9711673,Subway,True
49.1498513,-122.2556226,Subway,True
49.2626769,-123.0904448,Subway,True
49.2804593,-123.1219022,Subway,True
49.2631825,-122.8402209,Subway,True
49.1036721,-122.492054,Subway,True
49.048636,-122.2926136,Subway,True
49.1852228,-122.8005841,Subway,True
49.2541175,-122.893757,Subway,True
49.1985703,-122.779451,Subway,True
49.120381,-122.6629612,Subway,True
49.0406229,-123.0871553,Subway,True
49.3208761,-123.0721449,Subway,True
49.2703957,-123.105986,Subway,True
49.2659168,-123.2431691,Subway,True
49.2579872,-123.1685632,Subway,True
49.2445676,-123.1537958,Subway,True
49.1700001,-123.1377348,Subway,True
49.263332,-123.1329176,Subway,True
49.3737353,-123.2746745,Subway,True
49.0901287,-122.6046687,Subway,True
49.0601181,-122.4943564,Subway,True
49.0274027,-122.2659324,Subway,True
49.1767465,-122.866574,Subway,True
49.2415237,-123.0577701,Subway,True
49.2740362,-123.1222575,Subway,True
49.3284675,-123.156655,Subway,True
49.1445089,-123.0035868,Subway,True
49.1330626,-123.0233446,Subway,True
49.0385365,-122.2935247,Subway,True
49.2859088,-123.1119662,Subway,True
49.3511476,-123.2536737,Subway,True
49.2006229,-122.9168546,Subway,True
49.1248261,-122.7022827,Subway,True
49.272795,-122.7898982,Subway,True
49.0384515,-122.2707447,Subway,True
49.336875,-123.1008316,Subway,True
49.2509753,-123.1270905,Subway,True
49.2887314,-123.1281326,Subway,True
49.2797668,-123.1304883,Subway,True
49.2802821,-122.7991912,Subway,True
49.2792189,-122.8287203,Subway,True
49.27692,-122.8490281,Subway,True
49.0493869,-122.3387758,Subway,True
49.1110781,-122.668262,Subway,True
49.1366741,-122.8869649,Subway,True
49.1339176,-122.8553499,Subway,True
49.2639983,-123.1737583,Subway,True
49.1398614,-123.137394,KFC,True
49.2256116,-123.0777236,KFC,True
49.2254197,-122.9969699,KFC,True
49.1614935,-122.8908325,KFC,True
49.1871919,-122.849834,KFC,True
49.2434728,-123.0621724,KFC,True
49.262628,-123.0874661,KFC,True
49.2172304,-122.606536,KFC,True
49.1945973,-122.8457067,KFC,True
49.27789,-122.7952302,KFC,True
49.1673671,-122.8007973,KFC,True
49.0385355,-122.270425,KFC,True
49.1893656,-122.8022609,KFC,True
49.2812333,-123.1323093,KFC,True
49.2635775,-122.8870037,KFC,True
49.1039465,-122.7305423,KFC,True
49.1631911,-122.6612483,KFC,True
49.1352538,-122.8460589,KFC,True
49.1343226,-122.887236,KFC,True
49.1142452,-122.6754884,KFC,True
49.1486188,-123.1358921,Pizza Hut (takeout),False
49.1329977,-123.0973124,Burger King,True
49.218633,-122.9551616,Burger King,True
49.2258643,-122.9969705,Burger King,True
49.186768,-122.8499392,Burger King,True
49.1781724,-123.1211081,Burger King,True
49.1909246,-122.8908844,Burger King,True
49.2191699,-122.6587425,Burger King,True
49.2889429,-123.1390161,Burger King,True
49.2781282,-122.8112429,Burger King,True
49.2841391,-123.1142912,Burger King,True
49.3207939,-123.0955757,Burger King,True
49.2811705,-123.1204114,Burger King,True
49.1977105,-123.1745352,Burger King,True
49.1904248,-122.8448935,Burger King,True
49.138246,-122.8450644,Burger King,True
49.2533322,-122.7403668,Burger King,True
49.2004217,-122.91752,Burger King,True
49.1912497,-123.1286598,Burger King,True
49.091207,-122.9564485,Triple O's,True
49.13295,-122.5818856,Triple O's,True
49.2658558,-123.2544402,Triple O's,True
49.1924274,-123.0910446,Triple O's,True
49.2204967,-122.9757219,Triple O's,True
49.2163595,-122.6049356,Triple O's,True
49.1923674,-122.8892801,Triple O's,True
49.0431439,-122.2231024,Triple O's,True
49.1187811,-122.8245367,Triple O's,True
