,lat,lon,amenity,name,count,wikidata_id
262,49.260635,-122.890015,post_office,Clarke Road,190,Q1032001
263,49.27172,-123.06942,post_office,Little Italy,190,Q1032001
264,49.16545,-122.80088,post_office,Evergreen,190,Q1032001
265,49.281246,-123.006134,post_office,Willingdon Heights,190,Q1032001
266,49.134556,-122.30506,post_office,Mission Main,190,Q1032001
267,49.18607,-122.84969,post_office,Central City,190,Q1032001
268,49.324295,-123.072586,cafe,Starbucks,189,Q37158
269,49.323063,-123.072044,post_office,Central Lonsdale,190,Q1032001
270,49.28126,-123.05367,cafe,Starbucks,189,Q37158
271,49.07575,-122.66876,post_office,Brookswood,190,Q1032001
272,49.262188,-123.25014,cafe,Starbucks,189,Q37158
273,49.164497,-122.6648,cafe,Starbucks,189,Q37158
274,49.12659,-122.62369,post_office,Milner,190,Q1032001
275,49.049854,-122.31114,cafe,Starbucks,189,Q37158
276,49.036972,-122.311424,cafe,Starbucks,189,Q37158
277,49.198997,-122.980934,post_office,Market Crossing,190,Q1032001
278,49.281353,-123.115654,post_office,Vancouver Main,190,Q1032001
279,49.219524,-123.0411,cafe,Starbucks,189,Q37158
280,49.316517,-122.97114,post_office,Parkgate,190,Q1032001
281,49.25782,-123.16828,cafe,Starbucks,189,Q37158
282,49.264164,-123.1663,cafe,Starbucks,189,Q37158
283,49.279922,-123.1179,cafe,Starbucks,189,Q37158
284,49.26322,-123.13892,cafe,Starbucks,189,Q37158
285,49.26548,-123.138275,cafe,Starbucks,189,Q37158
286,49.263973,-123.17027,cafe,Starbucks,189,Q37158
287,49.263546,-123.144394,cafe,Starbucks,189,Q37158
288,49.336063,-123.03762,cafe,Starbucks,189,Q37158
289,49.258522,-123.10088,cafe,Starbucks,189,Q37158
290,49.350586,-123.254654,post_office,Caulfeild Village,190,Q1032001
291,49.328693,-123.15851,post_office,Ambleside,190,Q1032001
292,49.31213,-123.08158,post_office,The Quay,190,Q1032001
293,49.321,-123.09721,post_office,Capilano,190,Q1032001
294,49.18986,-122.07171,post_office,Deroche,190,Q1032001
295,49.191,-122.84463,cafe,Starbucks,189,Q37158
296,49.124752,-122.7029,cafe,Starbucks,189,Q37158
297,49.090687,-123.08365,post_office,Ladner,190,Q1032001
298,49.220066,-122.65697,cafe,Starbucks,189,Q37158
299,49.28576,-123.11167,cafe,Starbucks,189,Q37158
300,49.268787,-123.00059,cafe,Starbucks,189,Q37158
301,49.19857,-122.779564,cafe,Starbucks,189,Q37158
302,49.280384,-123.130936,cafe,Starbucks,189,Q37158
303,49.041477,-123.086876,cafe,Starbucks,189,Q37158
304,49.229527,-122.96447,post_office,Deer Lake,190,Q1032001
305,49.268066,-123.15769,post_office,Fourth Avenue,190,Q1032001
306,49.154743,-123.12582,post_office,Garden City,190,Q1032001
307,49.32508,-123.110115,post_office,Pemberton Plaza,190,Q1032001
308,49.184444,-123.13286,post_office,Aberdeen Centre,190,Q1032001
309,49.175198,-123.13189,post_office,Lansdowne Express Lane,190,Q1032001
310,49.264233,-123.11449,cafe,Starbucks,189,Q37158
311,49.27928,-123.116936,cafe,Starbucks,189,Q37158
312,49.277256,-123.11874,cafe,Starbucks,189,Q37158
313,49.27681,-123.11484,cafe,Starbucks,189,Q37158
314,49.28121,-123.01216,cafe,Starbucks,189,Q37158
315,49.02864,-122.80154,post_office,Hillcrest,190,Q1032001
316,49.031387,-122.80373,post_office,White Rock,190,Q1032001
317,49.045193,-122.79477,post_office,Sunnyside Village Mall,190,Q1032001
318,49.032017,-122.865395,post_office,Ocean Park,190,Q1032001
319,49.06016,-122.49444,cafe,Starbucks,189,Q37158
320,49.192352,-123.180145,cafe,Starbucks,189,Q37158
321,49.25969,-123.0439,cafe,Starbucks,189,Q37158
322,49.258602,-123.03071,cafe,Starbucks,189,Q37158
323,49.37404,-123.27483,post_office,Horseshoe Bay,190,Q1032001
324,49.328484,-123.160866,cafe,Starbucks,189,Q37158
325,49.280952,-123.13134,post_office,Nelson Park,190,Q1032001
326,49.306057,-123.03251,post_office,Lynnmour,190,Q1032001
327,49.26373,-123.211525,cafe,Starbucks,189,Q37158
328,49.264317,-123.17378,cafe,Starbucks,189,Q37158
329,49.33512,-123.04012,post_office,Lynn Valley,190,Q1032001
330,49.025288,-123.06966,post_office,Tsawwassen,190,Q1032001
331,49.23151,-122.906136,post_office,Crest Centre,190,Q1032001
332,49.45985,-123.23622,post_office,Lions Bay,190,Q1032001
333,49.139183,-123.138405,post_office,Broadmoor,190,Q1032001
334,49.27625,-122.84599,post_office,Saint Johns Street,190,Q1032001
335,49.219643,-123.1409,post_office,Marpole,190,Q1032001
336,49.282276,-123.10798,post_office,The W,190,Q1032001
337,49.219437,-123.11803,post_office,Langara,190,Q1032001
338,49.12532,-123.18287,post_office,Steveston Village,190,Q1032001
339,49.16461,-122.80096,cafe,Starbucks,189,Q37158
340,49.136955,-122.844345,cafe,Starbucks,189,Q37158
341,49.184303,-123.09233,post_office,Cambie,190,Q1032001
342,49.096485,-122.6242,cafe,Starbucks,189,Q37158
343,49.259953,-123.138306,post_office,Granville Park,190,Q1032001
344,49.200497,-122.91691,cafe,Starbucks,189,Q37158
345,49.200794,-122.91709,post_office,Columbia Square,190,Q1032001
346,49.287704,-123.113335,cafe,Starbucks,189,Q37158
347,49.254078,-123.115005,cafe,Starbucks,189,Q37158
348,49.044968,-122.221886,cafe,Starbucks,189,Q37158
349,49.33704,-123.10078,post_office,Edgemont,190,Q1032001
350,49.061623,-122.38084,cafe,Starbucks,189,Q37158
351,49.249348,-122.86157,post_office,Blue Mountain,190,Q1032001
352,49.131382,-122.89225,post_office,Scottsdale,190,Q1032001
353,49.192165,-123.08373,cafe,Starbucks,189,Q37158
354,49.19126,-123.12941,cafe,Starbucks,189,Q37158
355,49.284386,-123.108635,cafe,Starbucks,189,Q37158
356,49.258682,-123.10147,post_office,Print Express,190,Q1032001
357,49.231472,-123.11758,post_office,Oakridge,190,Q1032001
358,49.289562,-123.132774,post_office,Robson Street,190,Q1032001
359,49.162506,-122.834076,post_office,Bear Creek,190,Q1032001
360,49.28113,-123.073944,cafe,Starbucks,189,Q37158
361,49.023132,-123.069756,post_office,South Tsawwassen,190,Q1032001
362,49.2489,-122.81848,cafe,Starbucks,189,Q37158
363,49.214706,-122.988106,post_office,South Slope,190,Q1032001
364,49.231346,-123.00515,post_office,Old Orchard,190,Q1032001
365,49.23339,-123.06648,post_office,Cedar Cottage,190,Q1032001
366,49.212982,-122.91906,post_office,Queens Park,190,Q1032001
367,49.264355,-122.981445,cafe,Starbucks,189,Q37158
368,49.277,-122.79526,cafe,Starbucks,189,Q37158
369,49.045826,-122.79523,post_office,South Surrey (White Rock LCD),190,Q1032001
370,49.189613,-122.868576,post_office,Saint Helen's,190,Q1032001
371,49.27766,-122.90954,post_office,Simon Fraser University,190,Q1032001
372,49.219585,-122.64657,post_office,Maple Ridge Main,190,Q1032001
373,49.267914,-123.000275,post_office,Brentwood Town Centre,190,Q1032001
374,49.25114,-122.89568,post_office,Lougheed Town Centre,190,Q1032001
375,49.21204,-122.9204,post_office,Sixth Street,190,Q1032001
376,49.049873,-122.313614,post_office,Seven Oaks,190,Q1032001
377,49.05056,-122.326035,post_office,Abbotsford Main,190,Q1032001
378,49.05027,-122.31887,cafe,Starbucks,189,Q37158
